token:16781129 lambda:0.999860
token:16799714 lambda:0.001162
token:16795390 lambda:0.088618
token:16779294 lambda:0.093321
token:16826780 lambda:0.736069
token:50341313 lambda:0.000209
token:16792861 lambda:0.000775
token:50353517 lambda:0.811244
token:16817629 lambda:0.000032
token:16792227 lambda:0.000223
token:16818071 lambda:0.000756
token:33567197 lambda:0.332782
token:16818065 lambda:0.003193
token:16808900 lambda:0.000323
token:50350023 lambda:0.000446
token:16802554 lambda:0.001081
token:16831092 lambda:0.000827
token:16778775 lambda:0.002027
token:16805255 lambda:0.999863
token:50333927 lambda:0.285940
token:16793252 lambda:0.000757
token:16829078 lambda:0.000349
token:16794733 lambda:0.000128
token:50342217 lambda:0.031451
token:16778929 lambda:0.418801
token:16801852 lambda:0.000236
token:16810021 lambda:0.000001
token:16802838 lambda:0.999917
token:16838010 lambda:0.999765
token:16829400 lambda:0.000258
token:16793637 lambda:0.002079
token:16792477 lambda:0.000627
token:16868742 lambda:0.000001
token:50351950 lambda:0.000190
token:16778502 lambda:0.004489
token:16785046 lambda:0.004055
token:16862582 lambda:0.000003
token:16804853 lambda:0.000658
token:16799850 lambda:0.003682
token:16777534 lambda:0.255870
token:16817424 lambda:0.000203
token:16810452 lambda:0.000871
token:16799127 lambda:0.201884
token:16818009 lambda:0.024071
token:50334903 lambda:0.517410
token:16853146 lambda:0.000630
token:16870115 lambda:0.000001
token:16817268 lambda:0.000892
token:16778681 lambda:0.331398
token:50344908 lambda:0.000001
token:50357168 lambda:0.000047
token:16783533 lambda:0.982541
token:16783044 lambda:0.000434
token:16787825 lambda:0.000281
token:16809382 lambda:0.005959
token:16795921 lambda:0.004204
token:16825226 lambda:0.000032
token:16808819 lambda:0.000305
token:16782137 lambda:0.999999
token:16818035 lambda:0.289565
token:16778513 lambda:0.487268
token:16795353 lambda:0.001813
token:50340778 lambda:0.000240
token:50351272 lambda:0.001564
token:16791246 lambda:0.999676
token:16820564 lambda:0.000042
token:16793631 lambda:0.001051
token:16793585 lambda:0.001082
token:16826894 lambda:0.000013
token:16794370 lambda:0.065256
token:16819756 lambda:0.377724
token:16814200 lambda:0.000537
token:16793547 lambda:0.000260
token:16836861 lambda:0.000310
token:16854102 lambda:0.000115
token:16777984 lambda:0.000879
token:16808551 lambda:0.000106
token:50339697 lambda:0.000820
token:50349796 lambda:0.000323
token:16784591 lambda:0.005307
token:50352104 lambda:0.594943
token:16777395 lambda:0.565623
token:16799299 lambda:0.000033
token:50333161 lambda:0.115136
token:16815980 lambda:0.000262
token:50345702 lambda:0.000014
token:50344012 lambda:0.001033
token:50354067 lambda:0.620416
token:16797253 lambda:0.730768
token:50352438 lambda:0.297904
token:50340380 lambda:0.000790
token:16822790 lambda:0.000145
token:50351684 lambda:0.000240
token:16829657 lambda:0.000165
token:16785070 lambda:0.004323
token:16789597 lambda:0.001769
token:33569327 lambda:0.000133
token:16793193 lambda:0.010537
token:16777964 lambda:0.993966
token:16797821 lambda:0.000528
token:16815769 lambda:0.000290
token:16789661 lambda:0.010208
token:16781347 lambda:0.394202
token:50337163 lambda:0.001466
token:16778115 lambda:0.001448
token:16786159 lambda:0.001182
token:16818780 lambda:0.000359
token:16807007 lambda:0.000714
token:16804440 lambda:0.001744
token:50342327 lambda:0.000210
token:16799011 lambda:0.001236
token:16798745 lambda:0.000682
token:16841556 lambda:0.000121
token:16800960 lambda:0.001092
token:16782871 lambda:0.000240
token:16828270 lambda:0.001445
token:16856114 lambda:0.999999
token:50349931 lambda:0.000240
token:16793478 lambda:0.000765
token:50341689 lambda:0.000201
token:16810672 lambda:0.998193
token:16816683 lambda:0.000375
token:50339559 lambda:0.000128
token:16814265 lambda:0.000258
token:50344785 lambda:0.001839
token:16857690 lambda:0.001846
token:16806273 lambda:0.000345
token:16782909 lambda:0.008434
token:50353276 lambda:0.000030
token:16787548 lambda:0.100047
token:50338792 lambda:0.000465
token:50340970 lambda:0.001553
token:16798456 lambda:0.000707
token:16831853 lambda:0.000208
token:16836885 lambda:0.000240
token:16822834 lambda:0.000009
token:16792854 lambda:0.000310
token:16798686 lambda:0.001594
token:16811686 lambda:0.001322
token:50340148 lambda:0.000024
token:16787085 lambda:0.002007
token:16812177 lambda:0.698979
token:16811293 lambda:0.008941
token:16779755 lambda:0.054939
token:50342896 lambda:0.000066
token:50334383 lambda:0.187490
token:16804193 lambda:0.000583
token:50347800 lambda:0.000370
token:16794082 lambda:0.005532
token:16805655 lambda:0.000377
token:16780060 lambda:0.646306
token:16792996 lambda:0.003996
token:16805231 lambda:0.000101
token:16828131 lambda:0.001064
token:50333337 lambda:0.000191
token:16838903 lambda:0.000273
token:16795173 lambda:0.002118
token:16793668 lambda:0.000246
token:16812568 lambda:0.000370
token:16811788 lambda:0.000064
token:50332428 lambda:0.001894
token:50340645 lambda:0.001844
token:50334579 lambda:0.000179
token:16781745 lambda:0.029745
token:50342264 lambda:0.000499
token:16807674 lambda:0.000443
token:50357832 lambda:0.000100
token:50344864 lambda:0.001805
token:16809826 lambda:0.001640
token:16809418 lambda:0.494023
token:16807081 lambda:0.001071
token:16812418 lambda:0.001125
token:16806511 lambda:0.000517
token:50349361 lambda:0.810349
token:50348625 lambda:0.000321
token:16779411 lambda:0.034917
token:16819958 lambda:0.001301
token:16833162 lambda:0.000042
token:16826382 lambda:0.000891
token:16778879 lambda:0.654979
token:50350737 lambda:0.000240
token:16796711 lambda:0.159849
token:16813812 lambda:0.000328
token:16814543 lambda:0.000178
token:50342630 lambda:0.010607
token:16808206 lambda:0.001302
token:16778405 lambda:0.000081
token:16852864 lambda:0.000075
token:50335364 lambda:0.002375
token:16793948 lambda:0.000023
token:50351999 lambda:0.000045
token:16823093 lambda:0.000240
token:50346253 lambda:0.002565
token:16813321 lambda:0.037843
token:16822849 lambda:0.000002
token:16809368 lambda:0.021159
token:16827348 lambda:0.000974
token:16825899 lambda:0.000240
token:16793760 lambda:0.085045
token:16826782 lambda:0.000740
token:16792096 lambda:0.000258
token:50354883 lambda:0.000001
token:16795392 lambda:0.000240
token:50347191 lambda:0.001623
token:16809327 lambda:0.000537
token:16798902 lambda:0.000046
token:50333051 lambda:0.000034
token:16796510 lambda:0.000123
token:16841048 lambda:0.000043
token:16818797 lambda:0.000433
token:16820184 lambda:0.000818
token:50346552 lambda:0.000237
token:16783450 lambda:0.932421
token:50345072 lambda:0.002100
token:50338830 lambda:0.716520
token:16779296 lambda:0.038722
token:16783029 lambda:0.998596
token:50333122 lambda:0.001069
token:16791164 lambda:0.000050
token:16830989 lambda:0.000164
token:16819827 lambda:0.059929
token:16826323 lambda:0.000002
token:16785278 lambda:0.019398
token:16821420 lambda:0.009675
token:16788197 lambda:0.000858
token:33564085 lambda:0.000110
token:16795490 lambda:0.000996
token:16796761 lambda:0.000011
token:50342226 lambda:0.004742
token:16867287 lambda:0.000548
token:16796049 lambda:0.000248
token:16801440 lambda:0.000659
token:50333448 lambda:0.001496
token:16803201 lambda:0.552256
token:16794218 lambda:0.000464
token:16814089 lambda:0.000448
token:16798231 lambda:0.000203
token:16820769 lambda:0.000098
token:16852567 lambda:0.000006
token:16797710 lambda:0.000313
token:50338158 lambda:0.000048
token:16825222 lambda:0.000137
token:16814624 lambda:0.103137
token:16842364 lambda:0.000281
token:50349233 lambda:0.000081
token:16786502 lambda:0.001524
token:16841896 lambda:0.000322
token:16796547 lambda:0.001801
token:16791448 lambda:0.059929
token:16791327 lambda:0.003827
token:16789195 lambda:0.000753
token:16801641 lambda:0.000213
token:16799524 lambda:0.000311
token:16803490 lambda:0.000041
token:50347037 lambda:0.999761
token:16799284 lambda:0.000736
token:16870448 lambda:0.999947
token:16798098 lambda:0.000180
token:50347134 lambda:0.000060
token:16799267 lambda:0.000301
token:50336607 lambda:0.989269
token:16788248 lambda:0.998805
token:16800560 lambda:0.000855
token:50342676 lambda:0.000060
token:50344177 lambda:0.000444
token:16802278 lambda:0.001596
token:16803479 lambda:0.007753
token:50346239 lambda:0.999970
token:16837792 lambda:0.000240
token:50336277 lambda:0.000181
token:16838783 lambda:0.000240
token:33565218 lambda:0.000023
token:50343817 lambda:0.000171
token:50342852 lambda:0.000122
token:16802458 lambda:0.475826
token:16813384 lambda:0.002382
token:16828490 lambda:0.999643
token:16819337 lambda:0.000679
token:16827921 lambda:0.000563
token:16790013 lambda:0.002443
token:16823989 lambda:0.999019
token:16809211 lambda:0.000012
token:16792879 lambda:0.000429
token:16810990 lambda:0.757471
token:50345301 lambda:0.000002
token:16798992 lambda:0.000246
token:16781421 lambda:0.014053
token:16828070 lambda:0.001936
token:16800558 lambda:0.000429
token:16811306 lambda:0.000117
token:16796772 lambda:0.000248
token:16800676 lambda:0.000256
token:50340428 lambda:0.000033
token:50358196 lambda:0.000016
token:16829858 lambda:0.038123
token:16782135 lambda:0.001165
token:16826613 lambda:0.007088
token:50339616 lambda:0.000357
token:50353308 lambda:0.999174
token:16816503 lambda:0.000748
token:16820048 lambda:0.000434
token:50352685 lambda:0.000066
token:16820089 lambda:0.000240
token:50351022 lambda:0.000210
token:16793828 lambda:0.000152
token:16808940 lambda:0.000258
token:16783747 lambda:0.013593
token:16801781 lambda:0.000414
token:16793421 lambda:0.000705
token:16814220 lambda:0.000240
token:50336050 lambda:0.996502
token:50333016 lambda:0.000284
token:16830949 lambda:0.000001
token:33564267 lambda:0.003804
token:16791110 lambda:0.003091
token:16862672 lambda:0.011442
token:50347637 lambda:0.000456
token:16783645 lambda:0.085821
token:16855728 lambda:0.000131
token:16789866 lambda:0.555178
token:16812167 lambda:0.000670
token:16789519 lambda:0.000008
token:33562582 lambda:0.999943
token:16792409 lambda:0.004542
token:16812093 lambda:0.000795
token:50334270 lambda:0.484877
token:16777463 lambda:0.205710
token:50357695 lambda:0.000088
token:50339305 lambda:0.000322
token:16815098 lambda:0.009177
token:16818429 lambda:0.000734
token:16815954 lambda:0.011114
token:16824972 lambda:0.000190
token:50340522 lambda:0.999948
token:50354932 lambda:0.000013
token:16841685 lambda:0.000045
token:16816374 lambda:0.023795
token:16823456 lambda:0.000025
token:16793104 lambda:0.010551
token:50335277 lambda:0.000618
token:50343532 lambda:0.000386
token:16810121 lambda:0.000064
token:16820682 lambda:0.000240
token:16791286 lambda:0.000068
token:16830312 lambda:0.000696
token:16796877 lambda:0.007734
token:16860139 lambda:0.000669
token:16802597 lambda:0.001550
token:16837775 lambda:0.001647
token:50350164 lambda:0.000127
token:16843354 lambda:0.061072
token:16814467 lambda:0.000599
token:50353303 lambda:0.013907
token:16829436 lambda:0.000759
token:50343932 lambda:0.000438
token:33569832 lambda:0.000474
token:50342166 lambda:0.000186
token:16805206 lambda:0.000179
token:50350675 lambda:0.000005
token:50350965 lambda:0.000001
token:16827859 lambda:0.208307
token:16815831 lambda:0.000276
token:50358893 lambda:0.000899
token:16778489 lambda:0.571709
token:16818573 lambda:0.226583
token:50352604 lambda:0.000101
token:16794243 lambda:0.000500
token:16803338 lambda:0.007088
token:16811959 lambda:0.000214
token:50349259 lambda:0.000906
token:16781855 lambda:0.010234
token:16823167 lambda:0.015347
token:16780069 lambda:0.000515
token:16838505 lambda:0.000042
token:16808074 lambda:0.019823
token:16809421 lambda:0.003066
token:50350908 lambda:0.000351
token:16823233 lambda:0.332046
token:50339900 lambda:0.000656
token:16816904 lambda:0.463426
token:50359486 lambda:0.000003
token:50338009 lambda:0.268561
token:16813178 lambda:0.000691
token:16792719 lambda:0.031091
token:50346950 lambda:0.000019
token:50343248 lambda:0.000394
token:16790542 lambda:0.000163
token:16804156 lambda:0.000446
token:16826555 lambda:0.000177
token:50339247 lambda:0.000010
token:16805224 lambda:0.000137
token:16855850 lambda:0.001580
token:50336685 lambda:0.000131
token:16782080 lambda:0.131689
token:16798650 lambda:0.000890
token:16805583 lambda:0.000427
token:16811065 lambda:0.000340
token:16780312 lambda:0.333911
token:16857289 lambda:0.000293
token:16816227 lambda:0.000001
token:16819008 lambda:0.499988
token:50342730 lambda:0.999301
token:16830384 lambda:0.000283
token:16808385 lambda:0.000072
token:16794002 lambda:0.000461
token:16826052 lambda:0.000110
token:50335829 lambda:0.000453
token:50336432 lambda:0.000586
token:50333078 lambda:0.000405
token:50340883 lambda:0.000565
token:16818063 lambda:0.000088
token:16777759 lambda:0.000849
token:50343079 lambda:0.000057
token:16816283 lambda:0.001402
token:16794075 lambda:0.000225
token:16798703 lambda:0.001706
token:16848610 lambda:0.000456
token:16799301 lambda:0.000870
token:50345320 lambda:0.000041
token:50338619 lambda:0.001786
token:16792682 lambda:0.000298
token:16802500 lambda:0.071681
token:16827771 lambda:0.000026
token:50347526 lambda:0.001429
token:16781227 lambda:0.249160
token:33569017 lambda:0.001213
token:16795372 lambda:0.002378
token:16834500 lambda:0.000001
token:16799358 lambda:0.166972
token:50354179 lambda:0.000365
token:16794873 lambda:0.000504
token:50336089 lambda:0.000403
token:16789974 lambda:0.001579
token:16808100 lambda:0.002245
token:16813312 lambda:0.000016
token:16854443 lambda:0.000273
token:16804747 lambda:0.000035
token:16798394 lambda:0.000240
token:16793481 lambda:0.999855
token:16868337 lambda:0.000034
token:50344767 lambda:0.000210
token:50346516 lambda:0.000001
token:16798649 lambda:0.000098
token:16791834 lambda:0.128708
token:16821763 lambda:0.000091
token:16800087 lambda:0.317598
token:16824107 lambda:0.000102
token:16779230 lambda:0.215058
token:50351830 lambda:0.000148
token:16806521 lambda:0.183903
token:50358964 lambda:0.000259
token:50337783 lambda:0.278004
token:16787335 lambda:0.001132
token:50358182 lambda:0.000119
token:16779728 lambda:0.043339
token:16811911 lambda:0.000216
token:16791566 lambda:0.105462
token:16794553 lambda:0.004188
token:16805892 lambda:0.000012
token:16795624 lambda:0.000865
token:16783364 lambda:0.997347
token:16792019 lambda:0.000232
token:16789476 lambda:0.001299
token:16796031 lambda:0.002593
token:50350291 lambda:0.000001
token:16784578 lambda:0.614480
token:50349257 lambda:0.000123
token:16792070 lambda:0.000619
token:50347473 lambda:0.037368
token:16822326 lambda:0.000354
token:50353094 lambda:0.000010
token:50347362 lambda:0.001206
token:16827208 lambda:0.000388
token:16790296 lambda:0.000016
token:16868402 lambda:0.000042
token:16815928 lambda:0.000013
token:16787967 lambda:0.000172
token:50351697 lambda:0.000004
token:16828274 lambda:0.000230
token:16800347 lambda:0.000885
token:16801975 lambda:0.222914
token:16788229 lambda:0.999780
token:16781142 lambda:0.630991
token:16790780 lambda:0.000229
token:16787384 lambda:0.000240
token:50351444 lambda:0.987948
token:16810521 lambda:0.997503
token:16818528 lambda:0.000013
token:16799179 lambda:0.002036
token:16790540 lambda:0.998324
token:50339787 lambda:0.696758
token:16777724 lambda:0.030986
token:16793418 lambda:0.007902
token:16823934 lambda:0.000321
token:16790869 lambda:0.001301
token:16804677 lambda:0.000309
token:16817453 lambda:0.000292
token:16789185 lambda:0.000440
token:16795631 lambda:0.000008
token:16806869 lambda:0.290266
token:16807860 lambda:0.000858
token:16801409 lambda:0.054969
token:33555026 lambda:0.000002
token:16812603 lambda:0.002014
token:16818829 lambda:0.000183
token:16805314 lambda:0.000520
token:16817212 lambda:0.000176
token:16796134 lambda:0.000724
token:16852783 lambda:0.000240
token:16812882 lambda:0.000290
token:16778877 lambda:0.599162
token:16810565 lambda:0.000493
token:16795132 lambda:0.150890
token:16809656 lambda:0.000504
token:33555658 lambda:0.998477
token:16821947 lambda:0.000174
token:50349015 lambda:0.002276
token:16825630 lambda:0.999519
token:16779907 lambda:0.150052
token:16800076 lambda:0.077845
token:16791282 lambda:0.000606
token:16807497 lambda:0.190277
token:16793123 lambda:0.016077
token:16816081 lambda:0.000873
token:50335079 lambda:0.648593
token:16809768 lambda:0.021305
token:16817980 lambda:0.000035
token:16800096 lambda:0.000787
token:16807884 lambda:0.000145
token:16796375 lambda:0.000449
token:16803827 lambda:0.000011
token:16790547 lambda:0.000635
token:16803564 lambda:0.000426
token:50351924 lambda:0.000871
token:16818515 lambda:0.000286
token:50337198 lambda:0.000774
token:16859492 lambda:0.000042
token:16782884 lambda:0.999934
token:16793313 lambda:0.000005
token:16829819 lambda:0.000001
token:16868721 lambda:0.000106
token:16800204 lambda:0.000159
token:16813292 lambda:0.000643
token:16833351 lambda:0.000240
token:16781295 lambda:0.998506
token:50345427 lambda:0.000384
token:16789484 lambda:0.000269
token:16804737 lambda:0.000182
token:16810148 lambda:0.000053
token:50337752 lambda:0.000055
token:50340759 lambda:0.000324
token:16813566 lambda:0.002315
token:50359699 lambda:0.000086
token:16816353 lambda:0.000240
token:16813553 lambda:0.000425
token:16816791 lambda:0.000741
token:50345716 lambda:0.000585
token:33557221 lambda:0.000254
token:16795179 lambda:0.000128
token:50336218 lambda:0.001483
token:16859202 lambda:0.004717
token:16866444 lambda:0.955468
token:50357118 lambda:0.000240
token:50352728 lambda:0.000271
token:16844378 lambda:0.000240
token:16797408 lambda:0.999746
token:50341091 lambda:0.451061
token:16819342 lambda:0.000115
token:50343460 lambda:0.000469
token:50354785 lambda:0.000140
token:16780534 lambda:0.000276
token:16845581 lambda:0.000293
token:16810687 lambda:0.000411
token:16846516 lambda:0.963380
token:16789374 lambda:0.000174
token:16830303 lambda:0.000084
token:16868485 lambda:0.000129
token:16815244 lambda:0.002951
token:16808487 lambda:0.000197
token:16785907 lambda:0.001966
token:16805600 lambda:0.007182
token:16815334 lambda:0.000126
token:16818871 lambda:0.998323
token:16790707 lambda:0.000116
token:16796478 lambda:0.000609
token:50339742 lambda:0.877413
token:16808791 lambda:0.000240
token:16784357 lambda:0.000996
token:16805480 lambda:0.000209
token:16812319 lambda:0.008199
token:16786161 lambda:0.001596
token:16801768 lambda:0.000777
token:50336978 lambda:0.001220
token:50355099 lambda:0.000001
token:50338215 lambda:0.999926
token:16777596 lambda:0.000165
token:50335599 lambda:0.292005
token:16796370 lambda:0.000063
token:16788430 lambda:0.010134
token:16799307 lambda:0.017946
token:50334113 lambda:0.001462
token:16790589 lambda:0.259563
token:16787473 lambda:0.000248
token:16806038 lambda:0.000128
token:50334228 lambda:0.000437
token:16801050 lambda:0.000062
token:16815718 lambda:0.000279
token:50345971 lambda:0.000832
token:16838434 lambda:0.000150
token:33556000 lambda:0.999940
token:16787528 lambda:0.005297
token:50335407 lambda:0.000505
token:50336053 lambda:0.011106
token:50351124 lambda:0.000302
token:16819142 lambda:0.001296
token:16805232 lambda:0.004628
token:16813082 lambda:0.000097
token:16817273 lambda:0.001043
token:16808275 lambda:0.000401
token:16810241 lambda:0.003619
token:16805850 lambda:0.000282
token:50345517 lambda:0.000546
token:16801475 lambda:0.194589
token:16807430 lambda:0.001023
token:50350172 lambda:0.000007
token:16781646 lambda:0.999723
token:50349913 lambda:0.000655
token:50339679 lambda:0.022142
token:16782046 lambda:0.999730
token:16799832 lambda:0.000005
token:16802942 lambda:0.000032
token:16807653 lambda:0.000581
token:16822070 lambda:0.001198
token:50350156 lambda:0.000257
token:16799052 lambda:0.000345
token:16797667 lambda:0.000803
token:50359299 lambda:0.000001
token:50346874 lambda:0.000014
token:16787258 lambda:0.133594
token:50339230 lambda:0.000001
token:16823557 lambda:0.001564
token:16795109 lambda:0.000071
token:16806518 lambda:0.997870
token:16788158 lambda:0.004130
token:16814260 lambda:0.000083
token:50337408 lambda:0.000001
token:16797323 lambda:0.000319
token:16849750 lambda:0.000165
token:50340982 lambda:0.003205
token:16857030 lambda:0.000001
token:16807489 lambda:0.010069
token:16808421 lambda:0.999999
token:16809138 lambda:0.000368
token:16818131 lambda:0.000117
token:16800939 lambda:0.027029
token:16839919 lambda:0.001891
token:50340766 lambda:0.000485
token:16817784 lambda:0.000021
token:16783399 lambda:0.161806
token:16799602 lambda:0.000494
token:16824477 lambda:0.000052
token:16830469 lambda:0.000501
token:16814102 lambda:0.035944
token:50352589 lambda:0.002722
token:16867381 lambda:0.000131
token:16803185 lambda:0.001465
token:16816531 lambda:0.000006
token:16826972 lambda:0.000163
token:16823880 lambda:0.000080
token:16781505 lambda:0.002656
token:16843618 lambda:0.000244
token:16806069 lambda:0.000854
token:16799735 lambda:0.000351
token:50341902 lambda:0.000240
token:50354105 lambda:0.000240
token:16785731 lambda:0.014620
token:16794209 lambda:0.086290
token:16813817 lambda:0.024655
token:16783451 lambda:0.004533
token:16815967 lambda:0.999765
token:16802901 lambda:0.034546
token:16817430 lambda:0.000692
token:50340527 lambda:0.000564
token:16866740 lambda:0.000054
token:16826669 lambda:0.000108
token:16802198 lambda:0.000324
token:50351315 lambda:0.000475
token:33563677 lambda:0.000141
token:16782233 lambda:0.993743
token:16778891 lambda:0.002073
token:50351344 lambda:0.000375
token:16812869 lambda:0.000010
token:16817682 lambda:0.000145
token:50348445 lambda:0.000218
token:16791366 lambda:0.000001
token:16794878 lambda:0.000160
token:33559125 lambda:0.004450
token:16829848 lambda:0.000051
token:16792863 lambda:0.001743
token:16816188 lambda:0.000988
token:16800661 lambda:0.000042
token:50358863 lambda:0.000933
token:50342198 lambda:0.000095
token:50342964 lambda:0.000950
token:16825010 lambda:0.002543
token:50358339 lambda:0.000240
token:50343807 lambda:0.099417
token:16795035 lambda:0.000630
token:16795523 lambda:0.000210
token:16822734 lambda:0.000438
token:16851703 lambda:0.000024
token:50353972 lambda:0.000240
token:16788910 lambda:0.061593
token:16802483 lambda:0.002852
token:50353441 lambda:0.001069
token:50344245 lambda:0.000033
token:50338721 lambda:0.000003
token:16798869 lambda:0.033934
token:16812400 lambda:0.000282
token:16832536 lambda:0.000240
token:16830664 lambda:0.000027
token:16854777 lambda:0.000208
token:16857900 lambda:0.000119
token:16793862 lambda:0.000607
token:16797211 lambda:0.037317
token:16788422 lambda:0.000049
token:50346060 lambda:0.065243
token:16812132 lambda:0.000505
token:16848565 lambda:0.000240
token:16860339 lambda:0.000240
token:16780233 lambda:0.013921
token:16779512 lambda:0.109706
token:50345785 lambda:0.000024
token:16813249 lambda:0.002005
token:50354054 lambda:0.000068
token:16805490 lambda:0.000012
token:16800829 lambda:0.001811
token:33557377 lambda:0.000095
token:16796977 lambda:0.000110
token:16782235 lambda:0.001087
token:16782741 lambda:0.001845
token:16813903 lambda:0.000362
token:16777955 lambda:0.001162
token:16804427 lambda:0.000982
token:16798516 lambda:0.000284
token:16808133 lambda:0.000974
token:16819583 lambda:0.000422
token:50335154 lambda:0.000026
token:16822990 lambda:0.000223
token:50356963 lambda:0.002209
token:16792049 lambda:0.000444
token:50344657 lambda:0.002165
token:16790811 lambda:0.001107
token:16864447 lambda:0.045463
token:50336939 lambda:0.368679
token:16841320 lambda:0.000240
token:50342750 lambda:0.069443
token:50338839 lambda:0.000093
token:50358894 lambda:0.001564
token:33564524 lambda:0.999902
token:16801799 lambda:0.001331
token:16811966 lambda:0.000789
token:16802430 lambda:0.000412
token:16798109 lambda:0.000332
token:16781136 lambda:0.435714
token:16778832 lambda:0.001624
token:16800487 lambda:0.000446
token:16806882 lambda:0.000334
token:16811659 lambda:0.009831
token:16823515 lambda:0.039864
token:50333760 lambda:0.000189
token:16823889 lambda:0.000004
token:16827619 lambda:0.000106
token:16830092 lambda:0.000206
token:16802311 lambda:0.996565
token:16804814 lambda:0.000594
token:16809853 lambda:0.004094
token:16812293 lambda:0.042405
token:50345838 lambda:0.010839
token:50345987 lambda:0.000092
token:16813720 lambda:0.140154
token:16778206 lambda:0.066671
token:16815676 lambda:0.000012
token:16828329 lambda:0.000377
token:16828338 lambda:0.999991
token:16783599 lambda:0.000263
token:16798904 lambda:0.000614
token:50337097 lambda:0.000083
token:16845863 lambda:0.007248
token:16811137 lambda:0.000309
token:16826457 lambda:0.018746
token:16815453 lambda:0.000817
token:16816491 lambda:0.002936
token:16817949 lambda:0.766860
token:16793253 lambda:0.000385
token:16797890 lambda:0.000045
token:16830147 lambda:0.000225
token:16828071 lambda:0.000001
token:50335977 lambda:0.051801
token:16796560 lambda:0.000403
token:16815116 lambda:0.000044
token:50347701 lambda:0.001330
token:33564185 lambda:0.999854
token:50345413 lambda:0.000204
token:16797196 lambda:0.000604
token:50352681 lambda:0.000106
token:16805654 lambda:0.999478
token:16811347 lambda:0.087748
token:16814296 lambda:0.181777
token:50351223 lambda:0.000240
token:16794829 lambda:0.000502
token:16810863 lambda:0.000001
token:16790116 lambda:0.000001
token:16813687 lambda:0.001574
token:16787819 lambda:0.000322
token:50341659 lambda:0.000570
token:50353431 lambda:0.000335
token:16868226 lambda:0.000041
token:50335498 lambda:0.000835
token:50336358 lambda:0.000426
token:50354307 lambda:0.000088
token:16799171 lambda:0.000666
token:16814997 lambda:0.000433
token:50348995 lambda:0.000830
token:16823952 lambda:0.000018
token:50349452 lambda:0.000240
token:50354289 lambda:0.000063
token:16796527 lambda:0.002257
token:16825499 lambda:0.000032
token:16817552 lambda:0.000511
token:50343412 lambda:0.000162
token:16780694 lambda:0.003840
token:16824061 lambda:0.000229
token:16804509 lambda:0.000162
token:16787435 lambda:0.009297
token:16824421 lambda:0.000092
token:16788639 lambda:0.000123
token:50343591 lambda:0.000507
token:16814889 lambda:0.001045
token:16823008 lambda:0.000325
token:16799764 lambda:0.239161
token:16792380 lambda:0.001341
token:16824426 lambda:0.000861
token:16818958 lambda:0.000837
token:50354477 lambda:0.000013
token:16819566 lambda:0.000197
token:50337011 lambda:0.998489
token:16868417 lambda:0.000240
token:50334444 lambda:0.000361
token:16797129 lambda:0.002309
token:16785484 lambda:0.000114
token:16793957 lambda:0.000679
token:16830203 lambda:0.000549
token:16800420 lambda:0.000458
token:16803206 lambda:0.000288
token:16813047 lambda:0.006837
token:50336962 lambda:0.000961
token:16822302 lambda:0.000222
token:16808305 lambda:0.000010
token:16779331 lambda:0.999906
token:16815776 lambda:0.001625
token:16798623 lambda:0.000171
token:50341350 lambda:0.000818
token:16834644 lambda:0.000018
token:16778068 lambda:0.878322
token:50353543 lambda:0.000190
token:16869366 lambda:0.000205
token:16823821 lambda:0.000240
token:16813226 lambda:0.999649
token:16804146 lambda:0.000466
token:16827464 lambda:0.000614
token:16822305 lambda:0.000131
token:16794888 lambda:0.038772
token:16849781 lambda:0.000240
token:50352272 lambda:0.000862
token:16797133 lambda:0.000554
token:50336565 lambda:0.000545
token:16789289 lambda:0.067243
token:16852989 lambda:0.000240
token:16795868 lambda:0.982500
token:16780668 lambda:0.999102
token:16788745 lambda:0.002767
token:16804923 lambda:0.000134
token:16819223 lambda:0.000016
token:16811856 lambda:0.000590
token:16840954 lambda:0.000236
token:16788589 lambda:0.000066
token:16806681 lambda:0.001174
token:50337002 lambda:0.000535
token:16844508 lambda:0.000240
token:16813035 lambda:0.000213
token:16842450 lambda:0.990550
token:16802217 lambda:0.001018
token:50334796 lambda:0.653557
token:50337280 lambda:0.000500
token:16806045 lambda:0.000543
token:33561344 lambda:0.002722
token:50358312 lambda:0.000240
token:50341773 lambda:0.000199
token:16818977 lambda:0.000173
token:16796983 lambda:0.001519
token:16804243 lambda:0.012121
token:50336915 lambda:0.000129
token:50349977 lambda:0.000141
token:16823292 lambda:0.498307
token:50352000 lambda:0.000080
token:50341195 lambda:0.000479
token:50335492 lambda:0.034432
token:16822700 lambda:0.000004
token:16802672 lambda:0.001739
token:16785771 lambda:0.475149
token:16822779 lambda:0.000862
token:16802760 lambda:0.000492
token:16779400 lambda:0.000716
token:50359254 lambda:0.000443
token:16783847 lambda:0.078372
token:16781967 lambda:0.328865
token:16826215 lambda:0.000001
token:16778303 lambda:0.013108
token:16792845 lambda:0.365252
token:50338993 lambda:0.000240
token:16827546 lambda:0.000336
token:50336500 lambda:0.000670
token:16829390 lambda:0.000167
token:16808822 lambda:0.000240
token:50350887 lambda:0.599586
token:16826266 lambda:0.000258
token:16784773 lambda:0.305025
token:16829734 lambda:0.000049
token:50336609 lambda:0.963380
token:16799436 lambda:0.004662
token:50342243 lambda:0.003069
token:16803155 lambda:0.123689
